"PID","WEIGHT","cond","order_responses","val_1","val_2","val_3","val_4","val_5","top_value_num","top_value_char","response_cond1","response_cond2","response_cond3","order_dvs_first","order_dvs_second","order_dvs_third","order_dvs_fourth","order_dvs_fifth","antiest_1","antiest_2","antiest_3","antiest_4","ampride","trustgov","demsatis","radchange","vote_bin","vote_who","vote_whoelse","PartyID7","PartyID5","IDEO","RELIG","RELIG_OE","ATTEND","STARTDT","ENDDT","duration","SURV_MODE","SURV_LANG","Device","GENDER","AGE","AGE4","AGE7","RACETHNICITY","EDUC5","MARITAL","EMPLOY","INCOME","INCOME4","INCOME9","STATE","REGION4","REGION9","METRO","INTERNET","HOUSING","HOME_TYPE","PHONESERVICE","HHSIZE","HH01","HH25","HH612","HH1317","HH18OV","response","antiest_4R","distrust","antiest","discontent","exclude"
54,1.84696772,"kept",0,"Freedom of speech","Individuality","Freedom of the press","Help your neighbor","Peaceful protests",4,"Help your neighbor","In order to maintain a stable society, we must have order and cooperation among the citizenry.  There is no reason to fight against each other in the pursuit of progress.",NA,NA,"demsatis","ampride","antiest","radchange","trustgov",7,5,3,4,2,1,5,7,"vote","harris",NA,1,1,1,9,NA,1,"11/18/2024 20:22","11/18/2024 20:27",5,2,1,"Desktop","male",56,3,5,"white/non-hisp","bachelors",1,1,"$100,000 to $124,999",4,8,"VA",3,5,1,1,1,"1",3,4,"0","0","0","1",3,"In order to maintain a stable society, we must have order and cooperation among the citizenry.  There is no reason to fight against each other in the pursuit of progress.",4,7,4.75,6.25,0
55,0.89534242,"brkn",1,"Liberty","Justice for All","Religious Freedom","Free Fair Elections","No King",2,"Justice for All",NA,"By granting presidential immunity, the Supreme Court has put the president in the status of a king. No person in the United States should be above the law, including and especially the president.",NA,"demsatis","ampride","trustgov","radchange","antiest",5,5,2,5,5,6,3,5,"vote","harris",NA,1,1,3,2,NA,3,"11/20/2024 8:52","11/20/2024 8:59",7,2,1,"Desktop","male",63,4,5,"white/non-hisp","HS",1,5,"$60,000 to $74,999",3,6,"MA",1,1,1,1,1,"1",4,2,"#NULL!","#NULL!","#NULL!","#NULL!",2,"By granting presidential immunity, the Supreme Court has put the president in the status of a king. No person in the United States should be above the law, including and especially the president.",3,2,3.75,3.58333333333333,0
62,1.90398018,"ctrl",1,"Freedom","Peace","Hard work","Fairness","Honesty",1,"Freedom",NA,NA,"For our country to be free from dictatorship. We deserve to have choices and feel safe in our every day life","radchange","ampride","trustgov","antiest","demsatis",6,7,7,1,3,2,3,6,"no vote",NA,NA,6,5,3,2,NA,3,"12/1/2024 15:27","12/1/2024 15:32",4,2,1,"Smartphone","female",43,2,3,"white/non-hisp","HS",1,7,"$50,000 to $59,999",2,6,"OH",2,3,1,1,1,"1",4,4,"#NULL!","#NULL!","1","1",2,"For our country to be free from dictatorship. We deserve to have choices and feel safe in our every day life",7,6,6.75,6.25,0
65,0.60241144,"kept",1,"Family","Morality","Financial stability","98","98",1,"Family","The US does not put family first or people with families first or provide enough help for families in need",NA,NA,"antiest","ampride","demsatis","radchange","trustgov",1,7,7,7,NA,1,1,7,"no vote",NA,NA,2,1,2,11,NA,1,"11/19/2024 17:48","11/23/2024 8:38",4,2,1,"Smartphone","female",28,1,2,"black/non-hisp","some coll",1,7,"$15,000 to $19,999",1,2,"SC",3,5,1,1,2,"4",4,3,"1","#NULL!","#NULL!","#NULL!",2,"The US does not put family first or people with families first or provide enough help for families in need",1,7,4,6,0
67,1.99491172,"ctrl",1,"Freedom of speech","Freedom of religion","Liberty for all","Justice for all","Pursuit of happiness",1,"Freedom of speech",NA,NA,"People are able to say what they think. It is allowed without censorship by the government or other persons or companies/organizations.","trustgov","antiest","radchange","demsatis","ampride",6,5,4,5,3,4,3,5,"vote",NA,NA,4,3,NA,2,NA,8,"11/18/2024 21:35","11/18/2024 21:44",10,2,1,"Smartphone","female",58,3,5,"white/non-hisp","masters",1,1,"$125,000 to $149,999",4,8,"MO",2,4,1,1,1,"1",4,3,"0","0","0","0",3,"People are able to say what they think. It is allowed without censorship by the government or other persons or companies/organizations.",3,4,4.5,4.5,0
73,0.19666442,"ctrl",1,"Life","Liberty","The pursuit of happiness","Freedom of speech","Freedom of religion",1,"Life",NA,NA,"The existence of a physical being made up of atoms that consumes energy, that is allowed to continue its existence without the interference of another living being without just cause","demsatis","trustgov","antiest","ampride","radchange",5,5,5,2,2,2,5,5,"vote","trump",NA,5,4,3,2,NA,8,"11/21/2024 18:46","11/21/2024 19:01",15,2,1,"Smartphone","female",33,2,2,"white/non-hisp","some coll",1,1,"$75,000 to $84,999",3,7,"DE",3,5,1,1,1,"1",4,2,"#NULL!","#NULL!","#NULL!","#NULL!",2,"The existence of a physical being made up of atoms that consumes energy, that is allowed to continue its existence without the interference of another living being without just cause",6,6,5.25,5.41666666666667,0
77,0.82367946,"ctrl",0,"Family","Value","Fortune","Honor","Respect",1,"Family",NA,NA,"Amazing people and gives love and always there for people and one another. Very much devoted to family","antiest","radchange","ampride","demsatis","trustgov",7,5,7,4,5,1,1,7,"no vote",NA,NA,4,3,3,12,NA,2,"11/25/2024 18:54","11/25/2024 18:58",4,2,1,"Smartphone","female",35,2,3,"black/non-hisp","some coll",5,1,"$20,000 to $24,999",1,3,"FL",3,5,1,1,2,"1",4,2,"#NULL!","#NULL!","#NULL!","1",1,"Amazing people and gives love and always there for people and one another. Very much devoted to family",4,7,5.75,6.58333333333333,0
85,1.60700243,"brkn",0,"Greed","Gluttony","Lying","Ego","Too many damn cars",1,"Greed",NA,"This country doesn't care about it's own people. The people in charge only care whether or not them and their buddies are going to get yet another tax break.",NA,"ampride","radchange","antiest","trustgov","demsatis",7,4,6,4,1,3,1,4,"vote","harris",NA,3,2,2,9,NA,1,"11/22/2024 18:18","11/22/2024 18:23",6,2,1,"Desktop","male",47,3,4,"white/non-hisp","less HS",5,1,"$30,000 to $34,999",2,4,"TX",3,7,1,1,2,"1",4,6,"#NULL!","#NULL!","#NULL!","#NULL!",2,"This country doesn't care about it's own people. The people in charge only care whether or not them and their buddies are going to get yet another tax break.",4,5,5.25,4.75,0
86,0.12685428,"brkn",0,"Freedom  of speech","Freedom of Religion","Right to have guns","Freedom  to live anywhere","Freedom to eat whatever",2,"Freedom of Religion",NA,"By making everyone go according to what the government has decided, an example  is rights for women on healthcare decisions.  This should be instead a religious decision individually.",NA,"antiest","trustgov","ampride","demsatis","radchange",7,6,1,5,3,4,2,7,"vote","harris",NA,2,1,4,1,NA,2,"11/18/2024 16:10","11/18/2024 16:27",17,2,1,"Smartphone","female",61,4,5,"white/non-hisp","some coll",1,4,"$25,000 to $29,999",1,3,"CA",4,9,1,1,1,"1",4,2,"#NULL!","#NULL!","#NULL!","#NULL!",2,"By making everyone go according to what the government has decided, an example  is rights for women on healthcare decisions.  This should be instead a religious decision individually.",3,4,4.25,5.08333333333333,0
88,1.81424197,"kept",1,"Freedom of speech","Freedom of religion","Equality","Military protection","Education",1,"Freedom of speech","The U.S is living up to its promise of freedom of speech by pursuing offenders such as Elon Musk with his X platform. He used it to create an alt-right platform to further his agenda.",NA,NA,"ampride","antiest","demsatis","trustgov","radchange",7,6,7,1,3,1,1,7,"no vote",NA,NA,3,2,3,12,NA,2,"11/19/2024 11:47","11/19/2024 11:57",10,2,1,"Smartphone","male",29,1,2,"white/non-hisp","HS",4,1,"$40,000 to $49,999",2,5,"FL",3,5,1,1,2,"1",4,2,"#NULL!","#NULL!","#NULL!","#NULL!",2,"The U.S is living up to its promise of freedom of speech by pursuing offenders such as Elon Musk with his X platform. He used it to create an alt-right platform to further his agenda.",7,7,6.75,6.91666666666667,0
